comunidad_autonoma,provincia,clubes
comunidaddemadrid,madrid,c.d.vand´03
principadodeasturias,asturias,c.d.villadepravia
andalucia,sevilla,c.d.virgendereyes
comunidadforaldenavarra,navarra,c.d.waterpoloiruña9802
andalucia,malaga,c.d.waterpolomalaga
comunidadforaldenavarra,navarra,c.d.waterpolonavarra
comunidadvalenciana,valencia,c.d.waterpoloturia
andalucia,malaga,c.dehielobenalmadena
castilla-lamancha,toledo,c.dep.patosverdes
comunidadvalenciana,valencia,c.deportivoalquimia
andalucia,cadiz,c.deportivoipponraulcalvo
andalucia,malaga,c.derecho(waterpolo)
melilla,melilla,c.detiromosqueteros
catalunya,barcelona,c.drink
castillayleon,segovia,c.dtriatlonlacerta
andalucia,cadiz,c.dwaterpolosanlucar
catalunya,lleida,c.e.bellvis
islasbaleares,baleares,c.e.bucaner
catalunya,tarragona,c.e.dinamicsamposta
comunidadvalenciana,alicante,c.e.eldense
catalunya,barcelona,c.e.guardiaurbanadebarcelona
catalunya,lleida,c.e.inefdelleida
catalunya,barcelona,c.e.latosca
catalunya,barcelona,c.e.mediterrani
catalunya,lleida,c.e.n.balaguer
catalunya,barcelona,c.e.n.cabrerademar
catalunya,barcelona,c.e.n.casal
catalunya,barcelona,c.e.palauplegamans
catalunya,barcelona,c.e.panteresgrogues
catalunya,barcelona,c.e.picornell
islasbaleares,baleares,c.e.sincroinca
catalunya,tarragona,c.e.vendrell
andalucia,malaga,c.elcandado
extremadura,badajoz,c.elcorzo
andalucia,cadiz,c.elpicacho
comunidaddemadrid,madrid,c.encinasdeboadilla
catalunya,barcelona,c.escolapiossarria
andalucia,cordoba,c.escuderiaalba
principadodeasturias,asturias,c.escuelan.langreo
principadodeasturias,asturias,c.espartal
islasbaleares,baleares,c.esportsmasters
catalunya,lleida,c.esquivalld'aran
andalucia,granada,c.evicdeporte
andalucia,cordoba,c.figueroa
galicia,lugo,c.fluvialdelugo
extremadura,badajoz,c.fregenalsierra
andalucia,jaen,c.fuentedelrey
galicia,pontevedra,c.galaicosincro
andalucia,cordoba,c.gimnasticomedico
andalucia,cordoba,c.golflosvillares
castillayleon,leon,c.hispanico
comunidadforaldenavarra,navarra,c.huarte
paisvasco,alava,c.igeriketalaudio
andalucia,jaen,c.ignaciosafa
castillayleon,zamora,c.ins.dep.iberdrola
andalucia,granada,c.item
paisvasco,vizcaya,c.kai-eder(nat.)
paisvasco,vizcaya,c.landatxueta
melilla,melilla,c.lomamargaritas
extremadura,badajoz,c.lospatos
galicia,acoruña,c.m.i.clubdecampo
melilla,melilla,c.m.melilla
comunidaddemadrid,madrid,c.m.n.arganda
galicia,acoruña,c.marinedas.d.
paisvasco,vizcaya,c.martiartu
galicia,pontevedra,c.marvillagarcia
andalucia,sevilla,c.mediosacuaticos
islasbaleares,baleares,c.mediterranea
comunidadvalenciana,castellon,c.mediterranisincro
principadodeasturias,asturias,c.mejorasdelvalle
andalucia,sevilla,c.militardeportivo
catalunya,lleida,c.mirasan
extremadura,badajoz,c.n.a.pueblonuevo
castillayleon,avila,c.n.abulense
paisvasco,vizcaya,c.n.ademar
canarias,laspalmas,c.n.aguacan
regiondemurcia,murcia,c.n.aguilas
canarias,laspalmas,c.n.aguimayro
castilla-lamancha,ciudadreal,c.n.alarcosciudadreal
castilla-lamancha,albacete,c.n.albacete
comunidadvalenciana,castellon,c.n.albacora
galicia,acoruña,c.n.albatros
andalucia,sevilla,c.n.alcala
comunidaddemadrid,madrid,c.n.alcalah
catalunya,tarragona,c.n.alcanar
regiondemurcia,murcia,c.n.alcantarilla
castilla-lamancha,ciudadreal,c.n.alcazar
comunidaddemadrid,madrid,c.n.alcobendas
comunidadvalenciana,alicante,c.n.alcoi
comunidadvalenciana,alicante,c.n.alcoyano
comunidadvalenciana,alicante,c.n.alfailicitano
regiondemurcia,murcia,c.n.alhama
andalucia,granada,c.n.alhambra
andalucia,malaga,c.n.alhaurinelgrande
castilla-lamancha,albacete,c.n.almansa
catalunya,lleida,c.n.almenar
extremadura,badajoz,c.n.almendralejo
andalucia,almeria,c.n.almeria
andalucia,malaga,c.n.alora
aragon,huesca,c.n.altoaragon
catalunya,tarragona,c.n.amposta
paisvasco,alava,c.n.amurrio
andalucia,almeria,c.n.andaraz
islasbaleares,baleares,c.n.andratx
regiondemurcia,murcia,c.n.antartida
catalunya,tarragona,c.n.aquamasters
comunidadvalenciana,valencia,c.n.aquaticfuelsportvalencia
comunidaddemadrid,madrid,c.n.aranjuez
andalucia,granada,c.n.armilla
larioja,larioja,c.n.arnedo
paisvasco,guipuzcoa,c.n.arrasate
galicia,acoruña,c.n.arteixo
catalunya,barcelona,c.n.artes
catalunya,barcelona,c.n.artesadesegre
comunidadvalenciana,valencia,c.n.artisticaatlantis
comunidadvalenciana,alicante,c.n.artisticapswaterbenidorm
galicia,acoruña,c.n.arzua
comunidadvalenciana,alicante,c.n.aspe
galicia,acoruña,c.n.aspontes
cantabria,cantabria,c.n.astillero
principadodeasturias,asturias,c.n.astur-union
principadodeasturias,asturias,c.n.asturovi
comunidadvalenciana,valencia,c.n.atlanta
catalunya,barcelona,c.n.atletic-barceloneta
principadodeasturias,asturias,c.n.aviles
catalunya,barcelona,c.n.avinyo
andalucia,malaga,c.n.axarquia
comunidadvalenciana,castellon,c.n.azaharsincro
comunidadvalenciana,castellon,c.n.azaharvila-real
castilla-lamancha,ciudadreal,c.n.azuer
extremadura,badajoz,c.n.badajoz
catalunya,barcelona,c.n.badalona
catalunya,barcelona,c.n.badia
andalucia,cadiz,c.n.bahiadecadiz
cantabria,cantabria,c.n.bahiaostende
galicia,pontevedra,c.n.baixomiño
catalunya,barcelona,c.n.balsereny
catalunya,girona,c.n.banyoles
paisvasco,vizcaya,c.n.barakaldo
catalunya,barcelona,c.n.barcelona
paisvasco,vizcaya,c.n.basauri
regiondemurcia,murcia,c.n.begastri
andalucia,sevilla,c.n.bellavista
comunidadvalenciana,castellon,c.n.benicarlo
comunidadvalenciana,alicante,c.n.benidorm
comunidadvalenciana,valencia,c.n.benifayo
comunidadvalenciana,alicante,c.n.benissa
paisvasco,guipuzcoa,c.n.bergara
comunidadvalenciana,valencia,c.n.betera
castillayleon,leon,c.n.bierzo-ponferrada
catalunya,girona,c.n.blanes
galicia,acoruña,c.n.boiro
andalucia,sevilla,c.n.bormujos
castilla-lamancha,albacete,c.n.buceociudaddehellin
castillayleon,burgos,c.n.burgos
comunidadforaldenavarra,navarra,c.n.burlada
catalunya,lleida,c.n.butsenit
andalucia,almeria,c.n.c.frusol
andalucia,cadiz,c.n.caballa
ceuta,ceuta,c.n.caballa-ciudaddeceuta
extremadura,caceres,c.n.caceres
andalucia,cadiz,c.n.cadiz
catalunya,barcelona,c.n.caldes
catalunya,barcelona,c.n.calella
comunidadvalenciana,alicante,c.n.calpe
islasbaleares,baleares,c.n.calvia
cantabria,cantabria,c.n.camargo
andalucia,sevilla,c.n.camas
comunidadvalenciana,valencia,c.n.campdemorvedre
comunidadforaldenavarra,navarra,c.n.campoamor
catalunya,barcelona,c.n.capellades
catalunya,barcelona,c.n.cardedeuantic
andalucia,sevilla,c.n.carmona
regiondemurcia,murcia,c.n.cartagonovacartagena
canarias,laspalmas,c.n.carucagua
catalunya,barcelona,c.n.castellet
catalunya,girona,c.n.castellfollit
castilla-lamancha,toledo,c.n.castilla
castillayleon,burgos,c.n.castilla-burgos
castillayleon,zamora,c.n.castillazamora
catalunya,barcelona,c.n.catalunya
comunidadvalenciana,valencia,c.n.catarroja
galicia,acoruña,c.n.cedeira
catalunya,barcelona,c.n.centelles
galicia,acoruña,c.n.cerceda
catalunya,barcelona,c.n.cerdanyola
andalucia,malaga,c.n.cerradocalderon
catalunya,lleida,c.n.cervera
,,c.n.chafarinas(r.52)
extremadura,caceres,c.n.chinato
castilla-lamancha,albacete,c.n.chinchilla
comunidadvalenciana,valencia,c.n.chiva
canarias,laspalmas,c.n.chofaracay
andalucia,granada,c.n.churriana
canarias,laspalmas,c.n.ciudadalta
comunidaddemadrid,madrid,c.n.ciudaddealcorcon
principadodeasturias,asturias,c.n.ciudaddegijon
regiondemurcia,murcia,c.n.ciudaddemurcia
principadodeasturias,asturias,c.n.ciudaddeoviedo
islasbaleares,baleares,c.n.ciudadmallorca
castilla-lamancha,ciudadreal,c.n.ciudadreal
islasbaleares,baleares,c.n.ciutadella
islasbaleares,baleares,c.n.ciutatdepalma
comunidaddemadrid,madrid,c.n.colegiomirasur
comunidaddemadrid,madrid,c.n.colmenarviejo
andalucia,malaga,c.n.comarcaguadalhorce
galicia,acoruña,c.n.compostela
andalucia,cadiz,c.n.conil
aragon,zaragoza,c.n.corazonistas
extremadura,badajoz,c.n.coria
catalunya,barcelona,c.n.cornella
galicia,acoruña,c.n.coruña
comunidaddemadrid,madrid,c.n.coslada
castilla-lamancha,ciudadreal,c.n.criptanagigantes
comunidaddemadrid,madrid,c.n.cuatrocaminos
castilla-lamancha,cuenca,c.n.cuenca
galicia,acoruña,c.n.culleredo
comunidadvalenciana,valencia,c.n.delfin
castilla-lamancha,toledo,c.n.delfinesdeocaña
regiondemurcia,murcia,c.n.delsegura
comunidadvalenciana,alicante,c.n.denia
andalucia,cordoba,c.n.doñamencia
extremadura,badajoz,c.n.donbenitoacuarun
canarias,santacruzdetenerife,c.n.donbosco
castilla-lamancha,albacete,c.n.doncel
andalucia,sevilla,c.n.doshermanas
comunidadvalenciana,valencia,c.n.e.gandia
paisvasco,guipuzcoa,c.n.easo
paisvasco,guipuzcoa,c.n.easwinartisticaanoeta21
canarias,santacruzdetenerife,c.n.echeyde
islasbaleares,baleares,c.n.eivissa
andalucia,cordoba,c.n.elcarpio
comunidadvalenciana,alicante,c.n.elche
castilla-lamancha,toledo,c.n.elcisne
catalunya,barcelona,c.n.elmasnou
catalunya,barcelona,c.n.elpapiol
galicia,pontevedra,c.n.esalvamentoaestrada
galicia,lugo,c.n.escualos
catalunya,barcelona,c.n.esplugues
comunidadvalenciana,castellon,c.n.fanaticswimcastellon
islasbaleares,baleares,c.n.felanitx
comunidadvalenciana,valencia,c.n.fenixmanises
comunidadvalenciana,valencia,c.n.ferca-sanjose
galicia,acoruña,c.n.ferrol
catalunya,girona,c.n.figueres
andalucia,malaga,c.n.fuengirola
andalucia,malaga,c.n.fuengirola
comunidaddemadrid,madrid,c.n.fuenlabrada
regiondemurcia,murcia,c.n.fuentealamo
galicia,pontevedra,c.n.galaico
catalunya,barcelona,c.n.gava
paisvasco,vizcaya,c.n.gernika
catalunya,lleida,c.n.gimenells
catalunya,barcelona,c.n.gimn.raspall
castillayleon,valladolid,c.n.gimn.valladolid
andalucia,sevilla,c.n.gines
principadodeasturias,asturias,c.n.grado
andalucia,granada,c.n.granadaogijares
aragon,huesca,c.n.grañen
catalunya,barcelona,c.n.granollers
comunidadvalenciana,castellon,c.n.haliavila-real
andalucia,malaga,c.n.heliomar
aragon,zaragoza,c.n.helios
castilla-lamancha,ciudadreal,c.n.herencia
comunidadvalenciana,alicante,c.n.horadada
andalucia,huelva,c.n.huelva
paisvasco,guipuzcoa,c.n.igarondo
catalunya,barcelona,c.n.igualada
castillayleon,segovia,c.n.imd-ciudaddesegovia
islasbaleares,baleares,c.n.inca
principadodeasturias,asturias,c.n.indaes
andalucia,almeria,c.n.indaloalmeria
comunidadvalenciana,alicante,c.n.instituodeportivomonovar
melilla,melilla,c.n.instituto-queipo
larioja,larioja,c.n.iregua-villamediana
canarias,santacruzdetenerife,c.n.isoraswimguaju
paisvasco,guipuzcoa,c.n.izarraitz
aragon,zaragoza,c.n.izcuarte
aragon,huesca,c.n.j-10
andalucia,jaen,c.n.jaen
andalucia,jaen,c.n.jaen99
islasbaleares,baleares,c.n.jamma
comunidaddemadrid,madrid,c.n.jimenez
castillayleon,leon,c.n.jotaeme
paisvasco,alava,c.n.judizmendi
catalunya,barcelona,c.n.kallipolis
canarias,santacruzdetenerife,c.n.laalameda
andalucia,jaen,c.n.lacarolina
catalunya,lleida,c.n.laceta
extremadura,caceres,c.n.lacolina
comunidadvalenciana,valencia,c.n.lacostera
comunidaddemadrid,madrid,c.n.lalatina
galicia,pontevedra,c.n.lalin
comunidadvalenciana,castellon,c.n.lamarina
cantabria,cantabria,c.n.lapaz
extremadura,badajoz,c.n.lares
andalucia,sevilla,c.n.larinconada
melilla,melilla,c.n.lasalle-melilla
islasbaleares,baleares,c.n.lasalle-palma
principadodeasturias,asturias,c.n.lasanclascastrillon
canarias,laspalmas,c.n.lasescuevas
larioja,larioja,c.n.lasnorias
canarias,laspalmas,c.n.laspalmas
comunidadvalenciana,castellon,c.n.lavalld´uixo
comunidadvalenciana,castellon,c.n.lavallmond´aigua
comunidaddemadrid,madrid,c.n.leganes
paisvasco,guipuzcoa,c.n.legazpi
castillayleon,leon,c.n.leon
,,c.n.lepe
principadodeasturias,asturias,c.n.lescomadres
galicia,acoruña,c.n.liceo
andalucia,jaen,c.n.linares
andalucia,cadiz,c.n.linense
catalunya,lleida,c.n.lleida
comunidadvalenciana,valencia,c.n.lliria
catalunya,girona,c.n.lloret-canyelles
catalunya,girona,c.n.lloretdemar
islasbaleares,baleares,c.n.llucmajor
larioja,larioja,c.n.logroño
regiondemurcia,murcia,c.n.lorca
andalucia,cadiz,c.n.losangeles
andalucia,cadiz,c.n.losbarrios
canarias,santacruzdetenerife,c.n.loscristianos
andalucia,sevilla,c.n.lospalacios
castilla-lamancha,albacete,c.n.lostimones
principadodeasturias,asturias,c.n.luarca
andalucia,cordoba,c.n.lucena
galicia,lugo,c.n.lugo
principadodeasturias,asturias,c.n.lugones
comunidadvalenciana,alicante,c.n.luisasensi
comunidadvalenciana,valencia,c.n.l´alcudia
catalunya,barcelona,c.n.l´hospitalet
aragon,huesca,c.n.m.jaca
castilla-lamancha,toledo,c.n.madridejos
comunidaddemadrid,madrid,c.n.madridmoscardo
extremadura,badajoz,c.n.maimona
andalucia,sevilla,c.n.mairenaaljarafe
catalunya,barcelona,c.n.malgratdemar
catalunya,barcelona,c.n.manresa
castilla-lamancha,ciudadreal,c.n.manzanares
islasbaleares,baleares,c.n.mao
andalucia,malaga,c.n.marbella
comunidaddemadrid,madrid,c.n.marbellacarabanchel
andalucia,almeria,c.n.marenostrum
regiondemurcia,murcia,"c.n.marina-cartagena""ancora"""
regiondemurcia,murcia,c.n.marmenorsanjavier
catalunya,barcelona,c.n.martorell
catalunya,barcelona,c.n.masella
canarias,laspalmas,c.n.maspalomas
andalucia,cordoba,c.n.mastercordoba
andalucia,jaen,c.n.masterjaen
comunidaddemadrid,madrid,c.n.mastermadrid
galicia,pontevedra,c.n.mastermos
regiondemurcia,murcia,c.n.mastermurcia
comunidadvalenciana,alicante,c.n.masternaturalswimpetrer
regiondemurcia,murcia,c.n.mastersa.crol
catalunya,barcelona,c.n.mataro
cantabria,cantabria,c.n.mediocudeyo
comunidadvalenciana,valencia,c.n.mediterraneovalencia
comunidaddemadrid,madrid,c.n.mejorada2007
paisvasco,alava,c.n.menditxo
extremadura,badajoz,c.n.merida
canarias,laspalmas,c.n.metropole
catalunya,barcelona,c.n.metropolitan
andalucia,malaga,c.n.mijas
comunidaddemadrid,madrid,c.n.mirasierra
regiondemurcia,murcia,c.n.molina
catalunya,barcelona,c.n.molinsderei
comunidadvalenciana,valencia,c.n.moncada
castilla-lamancha,toledo,c.n.monteverde
